34     rdxjd3xwb8yye2jr09/22/2023 23:12qualified,/QTA_S5_1/S5_1r1,/Age/D_S1ar5,/Sample/online,/Gender (3111               197351112111101010000100010000010 0 0    1   1     01110 0 0    0   0     1011 0 1    1   1     010 0 1    1   1     011 1 0    1   1     010 0 0    0   0     011 0 1    1   1     011 0 0    1   1     000 0 0    1   1     011 0 0    1   1     000 0 0    0   1     011 0 1    1   1     011 1 1    1   1     001 0 1    0   0     010 0 1    1   1     011 0 1    1   1     011 0 1    1   1     011 0 0    1   1     01101101000101000100 11010101100 3     2             3     1      2   0   23      1  0100000001011010001000000000000004                482.261 4105609/22/2023 23:04                                                              english                                                     3                                                           Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.361.54.134.101                                                11cqbhpzt1ratsqm                                            11cqbhpzt1ratsqm                                                                                                                                                                    ..                                                          /survey/selfserve/591/230951?list=3&uid=1186544473          11cqbhpzt1ratsqm                                            1186544473                                                                                                              
51     nfc67mhwzwaq4y3f09/22/2023 23:52qualified,/HN_HCM (Online)/HCM/16mill_25mill,/Gender (Online)/S13111               1986422 4121100000000000010000011            1     01011            0     1001            0     011            0     011            1     011            0     011            0     001            0     011            0     011            1     010            0     011            1     001            1     011            0     011            0     011            1     011            0     011            1     01010100000100001000 50100000000 2                     3  1    2      03  2    1     0                 1000000000000004                238.41114101209/22/2023 23:48                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML14.191.108.139                                              27germ6p49jyc31p                                            27germ6p49jyc31p                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186557798          27germ6p49jyc31p                                            1186557798                                                                                                              
52     m15tnb5wyuzpngjt09/22/2023 23:58qualified,/Gender (Online)/S1br1,/total/Total,/QTA_S5_1 (Online)3111               1988411102101100101101000100000 10  0 01 0   1     010 10  0 01 0   1     10 10  0 11 0   1     0 10  0 00 0   1     0 11  1 11 1   1     0 01  0 00 0   0     0 10  0 01 0   1     0 11  1 11 1   1     0 10  0 01 0   1     0 11  1 11 1   1     0 00  0 00 0   0     1 10  0 01 0   1     0 10  0 01 0   1     0 00  0 00 0   0     1 10  0 01 0   1     0 10  0 01 0   1     0 10  0 01 0   1     0 10  0 01 0   1     01100100000111000100151000010000 11000 2            3     21          0  32       1  0                 1000000000000004                433.85114101209/22/2023 23:50                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 12; Nokia 3.4) AppleWebKit/537.359.153.246.118                                              su0rvbjxtndhfeay                                            su0rvbjxtndhfeay                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186558348          su0rvbjxtndhfeay                                            1186558348                                                                                                              
53     npkn10ku4k9ch3ce09/22/2023 23:59qualified,/Age (Online)/D_S1ar3,/Gender (Online)/S1br1,/QTA_S5_13111               1997312112200000000000000100000              1     010              1     10              1     0              0     1              1     0              1     0              1     0              1     0              1     0              1     0              1     0              1     0              1     0              0     1              1     0              1     0              1     0              1     01100100000000000000 10100000100 21000              3          2  1   03        1 2  0                 1000000000000004                485.751 4105609/22/2023 23:50                                                              english                                                     3                                                           Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.3614.168.100.169                                              cbtcvagqe799nrux                                            4e6agwpt1qmwe3n1                                                                                                                                                                    ..                                                          /survey/selfserve/591/230951?list=3&uid=1186558352          cbtcvagqe799nrux                                            1186558352                                                                                                              
57     cq9fx1cgftbqht8t09/23/2023 00:07qualified,/Age (Online)/D_S1ar3,/Gender (Online)/S1br1,/QTA_S5_13111               1991312 8121100010100100110000010   1 0  0  00     01010   1 0  0  00     1010   1 0  0  01     011   0 0  0  01     010   1 0  0  01     011   1 0  0  00     010   1 0  0  01     010   1 0  0  01     010   1 0  0  11     010   1 0  0  01     010   1 0  0  01     010   1 0  0  01     010   1 0  0  01     010   1 0  0  01     010   1 0  0  01     010   1 0  0  11     010   1 0  0  11     010   1 0  0  01     00000011000000010100 60110000100 3    99               3   2    1     0  1    3   2  0                 1000000000000004                401.261 4105609/23/2023 00:00                                                              english                                                     3                                                           Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36112.197.185.212                                             ngp47emugzkg8tap                                            ngp47emugzkg8tap                                                                                                                                                                    ..                                                          /survey/selfserve/591/230951?list=3&uid=1186561136          ngp47emugzkg8tap                                            1186561136                                                                                                              
59     p0a78b4art6ux06f09/23/2023 00:14qualified,/Gender (Online)/S1br2,/total/Total,/QTA_S5_1 (Online)3111               1986422 71111111101111101111000111111 11111 1111   011000010 00000 1000   10110011 00000 1000   0011100 10000 0000   0101100 11011 0101   0101010 10000 0000   0100101 01001 0010   0100110 10110 0000   0001010 00110 1010   0100100 10100 1010   0100001 00100 1010   0100110 10100 1010   0011001 10000 0010   0010011 01100 0000   0011011 01100 1010   0010111 00000 0000   0101001 10000 0000   0100101 00010 0011   01100000110100111000 21011011100 9     1 100000010102  31             0   3    1 2   0100100101000001001000000000000004                677.19114101209/23/2023 00:02                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 5.0.2; SM-G530H) AppleWebKit/537113.172.149.165                                             dy26apfx93h8z37f                                            dy26apfx93h8z37f                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186561877          dy26apfx93h8z37f                                            1186561877                                                                                                              
60     bkqbpp7fkb1hj3mu09/23/2023 00:14qualified,/Gender (Online)/S1br2,/total/Total,/QTA_S5_1 (Online)3111               1985422 8111111111111111111100011111111111111111   01100001000000001000   1001010011010100110   001000100100010000   010110110101010100   000100101000001010   010100100000010100   010010100100100100   010100100100000100   010100100010010100   001100010000100010   001010001000100100   010010010011010000   000010010100010100   000100101001001000   000010101001001010   000010101000101001   000010100110110100   00010010010000001010101011110100 5     1 100010001001   2 3           0      3 2  1  0010100000011001001000000000000004                639.93114103209/23/2023 00:03                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 4.4.2; K01E) AppleWebKit/537.36 113.172.149.165                                             fxgdjnumzzjdthpa                                            fxgdjnumzzjdthpa                                                                                                                                                                    ta                                                          /survey/selfserve/591/230951?list=3&uid=1186561904          fxgdjnumzzjdthpa                                            1186561904                                                                                                              
61     84pjxdwt2vaavf6q09/23/2023 00:15qualified,/Age (Online)/D_S1ar3,/Gender (Online)/S1br2,/QTA_S5_13111               1991322 4311101010000000110100010 0 1       01 0   010                      10 0 0       01 0   000 0 1       01 0   000 1 1       01 0   010 0 1       01 1   010 0 1       11 0   010 0 1       01 0   000 0 1       01 0   011 0 1       01 0   000 1 1       00 0   010 1 1       01 0   001 0 0       11 0   001 0 0       01 0   000 0 1       01 1   010 0 0       01 0   000 1 1       01 1   010 1 1       01 0   00110110000101001000 51010000000 1     2               2   1   3      01 2     3     0                 1000000000000004                514.431 4105609/23/2023 00:06                                                              english                                                     3                                                           Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36113.182.172.184                                             5fkabztmdtzjdgjw                                            5fkabztmdtzjdgjw                                                                                                                                                                    ..                                                          /survey/selfserve/591/230951?list=3&uid=1186563333          5fkabztmdtzjdgjw                                            1186563333                                                                                                              
63     q0fae0kw8nc2h9dj09/23/2023 01:31qualified,/Age (Online)/D_S1ar3,/HN_HCM (Online)/HN/16mill_25mil3111               1994321 511100000011000000000001      10           0100      10           101      00           00      01           01      00           00      10           00      10           00      10           00      10           00      01           00      01           00      10           00      01           00      10           00      10           00      01           00      01           00      10           00000000010101100000150011000000 4                        2     3 1   0     1  2  3  0                 1000000000000004               3019.471 4105609/23/2023 00:41                                                              english                                                     3                                                           Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36113.160.214.243                                             4de5rjxkan6nuafc                                            4de5rjxkan6nuafc                                                                                                                                                                    ..                                                          /survey/selfserve/591/230951?list=3&uid=1186573944          4de5rjxkan6nuafc                                            1186573944                                                                                                              
64     c0bnb1bsa2tcgapz09/23/2023 00:51qualified,/Gender (Online)/S1br1,/total/Total,/QTA_S5_1 (Online)3111               1983411 51101100000000000100000 11           1     001 01           0     01 11           0     0 11           0     0 01           0     0 01           1     0 01           0     0 11           1     0 00           1     0 01           0     0 11           1     0 00           0     1 11           0     0 11           0     0 11           0     0 11           1     0 10           1     0 11           0     01110000000000000000 10011000000 3                        23      1   0    2  31     0000000010101001101000000000000004                424.13114101209/23/2023 00:44                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 13; SM-A135F Build/TP1A.220624.014.160.40.22                                                wc1z3rsx86cr9br9                                            wc1z3rsx86cr9br9                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186574864          wc1z3rsx86cr9br9                                            1186574864                                                                                                              
65     4zth0410qewnw29309/23/2023 00:59qualified,/Gender (Online)/S1br1,/QTA_S5_1 (Online)/S5_1r2,202303111               1974512 621100001010010001000001    0 1  1   0     0010    0 0  1   0     011    0 0  1   1     00    0 0  0   0     11    1 1  1   1     00    0 0  1   0     00    0 0  1   0     00    0 0  1   0     00    0 0  1   0     00    0 0  1   0     00    0 0  0   0     10    0 0  0   0     10    0 0  1   0     00    0 0  0   0     10    0 0  1   0     00    0 0  1   0     00    0 0  1   0     00    0 0  0   0     10000010000000000000 61000110100 71000 1 11000000000      3     21    0  31  2       0000001000100111001000000000000004                399.57114101209/23/2023 00:52                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 11; Live 4 Build/RKQ1.200928.00214.186.103.53                                               ddn6d0k18zud46zx                                            ddn6d0k18zud46zx                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186576756          ddn6d0k18zud46zx                                            1186576756                                                                                                              
69     s8khc07vaxtxa6bz09/23/2023 01:16qualified,/Age (Online)/D_S1ar3,/Gender (Online)/S1br1,/QTA_S5_13111               1996312 5111100110100100011000001  11 1  1   11    01000  01 0  0   10    1010  11 0  1   11    010  10 1  1   10    010  10 1  0   11    011  11 0  0   11    000  11 0  1   10    001  10 1  0   11    010  10 0  0   00    010  01 0  0   00    010  10 1  1   01    000  01 1  0   11    010  11 0  1   11    010  10 1  0   11    010  11 0  1   10    011  01 1  0   11    010  11 1  0   10    010  01 0  1   10    00000110000101010000120010000100 3     1 100010010002  3          1   03     1     2 0                 1000000000000004                398.91114101209/23/2023 01:09                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML171.252.153.184                                             4swhqfe77csztcvj                                            u0sh0tj7rbmyggc1                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186582095          4swhqfe77csztcvj                                            1186582095                                                                                                              
70     y68fbfjgbzuexa0q09/23/2023 01:30qualified,/Age (Online)/D_S1ar3,/Gender (Online)/S1br1,/HN_HCM (3111               1998311 82200000100000000000000     1              010     1              10     1              0     1              0     1              0     1              0     1              0     1              0     1              0     1              0     1              0     1              0     1              0     1              0     1              0     1              0     1              0     1              01000101010100000000 50000110000 51000              21     3          0    1   2  3  0                 1000000000000004                255.90112131109/23/2023 01:26                                                              english                                                     3                                                           Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) App116.97.105.25                                               gqa7s2x8brx5umvv                                            gqa7s2x8brx5umvv                                                                                                                                                                    si                                                          /survey/selfserve/591/230951?list=3&uid=1186586739          gqa7s2x8brx5umvv                                            1186586739                                                                                                              
72     nfqr47ymgn0mdnv409/23/2023 01:51qualified,/Gender (Online)/S1br2,/total/Total,/QTA_S5_1 (Online)3111               1984422 6111100010110100010100010   0 10 1   1 0   01100   0 00 0   1 0   1011   0 10 1   1 0   011   0 10 0   1 0   011   1 11 1   1 1   000   0 10 0   1 0   000   0 10 0   1 0   000   0 10 0   1 0   010   0 10 0   1 0   000   0 10 0   1 0   010   0 10 0   1 0   011   1 11 1   1 1   001   0 10 0   1 0   000   0 10 0   1 0   000   0 10 0   1 0   000   0 10 0   1 0   010   0 10 0   1 0   000   0 00 0   1 0   01100100000101001000150100000000 2     1 1001010110021 3              0  3     2 1   0010000010000011101000000000000004               1050.67112111109/23/2023 01:34                                                              english                                                     3                                                           Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) Apple171.227.207.131                                             140fa2kby517ccxg                                            140fa2kby517ccxg                                                                                                                                                                    si                                                          /survey/selfserve/591/230951?list=3&uid=1186589430          140fa2kby517ccxg                                            1186589430                                                                                                              
73     a8ajmxcszwkq008c09/23/2023 03:19qualified,Total,/Gender (Online)/S1br2,20230923_02:46_v4,/QTA_S53111               1990321 62101100101001000100000 10  0 0  1   1     010 00  0 0  1   0     10 00  0 0  1   1     0 00  0 0  1   0     0 10  0 0  0   1     0 00  0 0  0   0     1 00  0 0  1   0     0 00  0 0  1   0     0 00  0 0  0   0     1 00  0 0  0   0     1 00  0 0  0   1     0 00  0 0  0   0     1 00  0 0  1   0     0 00  0 0  0   0     1 00  0 0  0   0     1 00  0 0  0   0     1 10  0 0  0   1     0 00  0 0  1   1     01111100000000000000 20000000010971000 2             2    1       3   03 2     1     0                 1000000000000004               1045.411 4125609/23/2023 03:01                                                              english                                                     3                                                           Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20113.190.22.233                                              wjsxy9cy5q6u095x                                            wjsxy9cy5q6u095x                                                                                                                                                                    ..                                                          /survey/selfserve/591/230951?list=3&uid=1186613895          wjsxy9cy5q6u095x                                            1186613895                                                                                                              
133    u1f7h7d0y0kajet409/23/2023 06:19qualified,/total/Total,/Gender (Online)/S1br1,/Age (Online)/D_S13111               1986412121101010000001001100000 1 1      0  01     010 0 1      0  01     10 1 0      1  01     0 0 1      1  01     0 0 1      0  01     0 0 0      1  01     0 1 1      0  01     0 0 0      0  11     0 1 0      0  01     0 0 1      1  01     0 0 1      0  11     0 0 0      1  01     0 0 0      1  01     0 0 1      0  01     0 0 0      1  01     0 0 0      1  01     0 1 0      0  01     0 1 0      0  01     00001000100100010100190000100100 9     1 110110000003   1      2      0    3   1  2  0                 1000000000000004                304.68114101209/23/2023 06:13                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 13; V2206; wv) AppleWebKit/537.3125.235.125.109                                             sttmvfmpabztd5et                                            sttmvfmpabztd5et                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186674157          sttmvfmpabztd5et                                            1186674157                                                                                                              
135    07rn1hh9ybnpwd4u09/23/2023 06:43qualified,/total/Total,/Age (Offline)/D_S1ar3,/Sample/offline,/Q3111               199031212311100000110100010000010     00 0   0     010                      10     10 1   0     010     10 1   0     010     11 1   0     011     01 0   0     011     01 1   0     010     10 1   1     011     00 1   0     011     00 1   0     010     11 1   0     011     10 1   0     010     01 1   0     010     10 1   0     011     11 1   0     010     11 1   0     011     01 0   1     010     00 0   0     01100100000100000100 10110000000 2    99            1     32          0     1  2 3   0                 1000000000000005               1713.67214103209/23/2023 06:13                                                              vietnamese                                                  4                                                           Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML115.73.38.188                                               u1s9tge6d17jj985                                            u1s9tge6d17jj985                                                                                                                                                                    ta                                                          /survey/selfserve/591/230951?list=4&decLang=vietnamese&uid=5u1s9tge6d17jj985                                            55a2db9c-59dc-11ee-8c99-0242ac120002                                                                                    
137    jrfkxwue7dukw62g09/23/2023 06:24qualified,/Gender (Online)/S1br2,20230923_02:46_v4,/QTA_S5_1 (On3111               1983422 6111100000110000010000010     00     1     01101     10     0     1000     01     0     000     10     0     000     00     1     001     00     0     000     10     1     010     00     0     010     01     0     011     00     0     010     10     0     000     01     1     011     00     1     001     10     1     001     10     0     011     01     0     010     11     0     010     01     1     00100000011100101100101010000000 1     2            3      1   2      0   2 1  3     0110010001100000001000000000000004                271.601 4105609/23/2023 06:19                                                              english                                                     3                                                           Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36171.254.151.109                                             cp1fsh0a4kr2dam6                                            cp1fsh0a4kr2dam6                                                                                                                                                                    ..                                                          /survey/selfserve/591/230951?list=3&uid=1186675832          cp1fsh0a4kr2dam6                                            1186675832                                                                                                              
140    vw37cbwzzkdnz82k09/23/2023 06:27qualified,/Gender (Online)/S1br2,20230923_02:46_v4,/QTA_S5_1 (On3111               1973522 6311101010000100010100011 1 0    0   0 0   010                      00 0 1    1   1 0   010 0 1    1   0 0   011 0 0    0   0 0   010 0 1    0   0 0   000 1 1    0   1 0   001 0 1    0   0 0   000 0 0    1   1 0   000 1 0    1   0 0   011 0 0    0   0 0   010 0 0    0   0 0   000 1 0    1   0 0   000 0 0    0   1 1   000 0 1    0   0 1   001 1 1    0   0 0   001 1 0    0   0 0   010 0 1    0   0 0   00000101000101011000 50100001000 2    99             1 2          3   0    23  1     0                 1000000000000004                253.17114101209/23/2023 06:22                                                              english                                                     3                                                           Mozilla/5.0 (Linux; Android 8.1.0; SAMSUNG SM-J710F) AppleWe42.116.204.53                                               j3x7c4hxysaaze6v                                            stcrs2ak1q9htcpr                                                                                                                                                                    sa                                                          /survey/selfserve/591/230951?list=3&uid=1186677176          j3x7c4hxysaaze6v                                            1186677176                                                                                                              
